event	utc_timestamp
first_launch_requested	2026-08-01T14:27:32.998Z
first_launch_returned	2026-08-01T14:27:33.869Z
generated_ledger_observed	2026-08-01T14:27:36.122Z
background_app_launch_requested	2026-08-01T14:27:36.135Z
background_app_launch_returned	2026-08-01T14:27:37.002Z
background_event_observed	2026-08-01T14:27:40.882Z
background_flush_completed_observed	2026-08-01T14:27:41.070Z
termination_requested	2026-08-01T14:27:41.373Z
first_process_terminated	2026-08-01T14:27:41.385Z
collector_start_requested	2026-08-01T14:27:41.794Z
collector_ready	2026-08-01T14:27:43.512Z
resume_launch_requested	2026-08-01T14:27:43.536Z
resume_launch_returned	2026-08-01T14:27:44.547Z
capture_window_complete	2026-08-01T14:28:14.563Z
