event	utc_timestamp
first_launch_requested	2026-08-01T14:50:11.761Z
first_launch_returned	2026-08-01T14:50:12.906Z
generated_ledger_observed	2026-08-01T14:50:15.964Z
background_app_launch_requested	2026-08-01T14:50:15.980Z
background_app_launch_returned	2026-08-01T14:50:17.255Z
background_event_observed	2026-08-01T14:50:20.977Z
background_flush_completed_observed	2026-08-01T14:50:21.162Z
termination_requested	2026-08-01T14:50:21.239Z
first_process_terminated	2026-08-01T14:50:21.253Z
collector_start_requested	2026-08-01T14:50:21.718Z
collector_ready	2026-08-01T14:50:22.733Z
resume_launch_requested	2026-08-01T14:50:22.745Z
resume_launch_returned	2026-08-01T14:50:24.615Z
capture_window_complete	2026-08-01T14:50:54.649Z
