event	utc_timestamp
first_launch_requested	2026-08-01T14:54:06.506Z
first_launch_returned	2026-08-01T14:54:07.497Z
generated_ledger_observed	2026-08-01T14:54:08.983Z
background_app_launch_requested	2026-08-01T14:54:08.989Z
background_app_launch_returned	2026-08-01T14:54:09.466Z
background_event_observed	2026-08-01T14:54:11.859Z
background_flush_completed_observed	2026-08-01T14:54:11.964Z
termination_requested	2026-08-01T14:54:12.008Z
first_process_terminated	2026-08-01T14:54:12.020Z
collector_start_requested	2026-08-01T14:54:12.457Z
collector_ready	2026-08-01T14:54:13.088Z
resume_launch_requested	2026-08-01T14:54:13.094Z
resume_launch_returned	2026-08-01T14:54:14.119Z
capture_window_complete	2026-08-01T14:54:44.203Z
