event	utc_timestamp
first_launch_requested	2026-08-01T15:18:23.932Z
first_launch_returned	2026-08-01T15:18:25.856Z
generated_ledger_observed	2026-08-01T15:18:28.629Z
background_app_launch_requested	2026-08-01T15:18:28.654Z
background_app_launch_returned	2026-08-01T15:18:29.641Z
background_event_observed	2026-08-01T15:18:34.218Z
background_flush_completed_observed	2026-08-01T15:18:34.368Z
termination_requested	2026-08-01T15:18:34.471Z
first_process_terminated	2026-08-01T15:18:34.494Z
collector_start_requested	2026-08-01T15:18:34.859Z
collector_ready	2026-08-01T15:18:35.955Z
resume_launch_requested	2026-08-01T15:18:35.974Z
resume_launch_returned	2026-08-01T15:18:38.220Z
capture_window_complete	2026-08-01T15:19:08.244Z
