event	utc_timestamp
first_launch_requested	2026-08-01T15:59:18.134Z
first_launch_returned	2026-08-01T15:59:18.579Z
generated_ledger_observed	2026-08-01T15:59:19.955Z
background_app_launch_requested	2026-08-01T15:59:19.970Z
background_app_launch_returned	2026-08-01T15:59:20.515Z
background_event_observed	2026-08-01T15:59:22.455Z
background_flush_completed_observed	2026-08-01T15:59:22.482Z
termination_requested	2026-08-01T15:59:22.519Z
first_process_terminated	2026-08-01T15:59:22.525Z
collector_start_requested	2026-08-01T15:59:22.665Z
collector_ready	2026-08-01T15:59:23.235Z
resume_launch_requested	2026-08-01T15:59:23.252Z
resume_launch_returned	2026-08-01T15:59:23.960Z
capture_window_complete	2026-08-01T15:59:53.977Z
