event	utc_timestamp
first_launch_requested	2026-08-01T15:57:18.060Z
first_launch_returned	2026-08-01T15:57:18.576Z
generated_ledger_observed	2026-08-01T15:57:20.204Z
background_app_launch_requested	2026-08-01T15:57:20.209Z
background_app_launch_returned	2026-08-01T15:57:20.787Z
background_event_observed	2026-08-01T15:57:23.683Z
background_flush_completed_observed	2026-08-01T15:57:28.218Z
termination_requested	2026-08-01T15:57:28.255Z
first_process_terminated	2026-08-01T15:57:28.261Z
collector_start_requested	2026-08-01T15:57:28.544Z
collector_ready	2026-08-01T15:57:29.142Z
resume_launch_requested	2026-08-01T15:57:29.147Z
resume_launch_returned	2026-08-01T15:57:30.097Z
capture_window_complete	2026-08-01T15:58:00.131Z
