event	utc_timestamp
first_launch_requested	2026-08-01T16:01:00.793Z
first_launch_returned	2026-08-01T16:01:01.186Z
generated_ledger_observed	2026-08-01T16:01:01.845Z
background_app_launch_requested	2026-08-01T16:01:01.854Z
background_app_launch_returned	2026-08-01T16:01:02.425Z
background_event_observed	2026-08-01T16:01:03.816Z
background_flush_completed_observed	2026-08-01T16:01:03.884Z
termination_requested	2026-08-01T16:01:04.057Z
first_process_terminated	2026-08-01T16:01:04.077Z
collector_start_requested	2026-08-01T16:01:04.344Z
collector_ready	2026-08-01T16:01:04.955Z
resume_launch_requested	2026-08-01T16:01:04.962Z
resume_launch_returned	2026-08-01T16:01:05.486Z
capture_window_complete	2026-08-01T16:01:35.512Z
