event	utc_timestamp
first_launch_requested	2026-08-01T16:11:17.631Z
first_launch_returned	2026-08-01T16:11:18.002Z
generated_ledger_observed	2026-08-01T16:11:18.680Z
background_app_launch_requested	2026-08-01T16:11:18.691Z
background_app_launch_returned	2026-08-01T16:11:19.259Z
background_event_observed	2026-08-01T16:11:20.518Z
background_flush_completed_observed	2026-08-01T16:11:21.038Z
termination_requested	2026-08-01T16:11:21.164Z
first_process_terminated	2026-08-01T16:11:21.182Z
collector_start_requested	2026-08-01T16:11:21.554Z
collector_ready	2026-08-01T16:11:22.160Z
resume_launch_requested	2026-08-01T16:11:22.167Z
resume_launch_returned	2026-08-01T16:11:22.574Z
capture_window_complete	2026-08-01T16:11:52.592Z
